"X.1","X","Responses","ASC","UTNRC","NRC","UTNRC"
1,1,"neutral",1,1,1,"neutral"
2,2,"positive",0.3486,0.3486,0.3486,"positive"
3,3,"neutral",0.6837,0.6837,0.6837,"neutral"
4,4,"negative",1,1,1,"negative"
5,5,"negative",1,1,1,"negative"
6,6,"negative",1,1,1,"negative"
7,7,"positive",0.6745,0.6745,0.6745,"positive"
8,8,"neutral",0.634,0.634,0.634,"neutral"
9,9,"positive",0.6559,0.6559,0.6559,"positive"
10,10,"positive",1,1,1,"positive"
11,11,"neutral",0.6769,0.6769,0.6769,"neutral"
12,12,"positive",1,1,1,"positive"
13,13,"positive",1,1,1,"positive"
14,14,"positive",0.6451,0.6451,0.6451,"positive"
15,15,"positive",1,1,1,"positive"
16,16,"negative",0.6842,0.6842,0.6842,"negative"
17,17,"positive",1,1,1,"positive"
18,18,"negative",1,1,1,"negative"
19,19,"positive",1,1,1,"positive"
20,20,"positive",1,1,1,"positive"
21,21,"negative",0.6705,0.6705,0.6705,"negative"
22,22,"positive",1,1,1,"positive"
23,23,"positive",1,1,1,"positive"
24,24,"neutral",1,1,1,"neutral"
25,25,"negative",1,1,1,"negative"
26,26,"negative",1,1,1,"negative"
27,27,"negative",1,1,1,"negative"
28,28,"neutral",0.6854,0.6854,0.6854,"neutral"
29,29,"negative",1,1,1,"negative"
30,30,"neutral",0.615,0.615,0.615,"neutral"
31,31,"negative",1,1,1,"negative"
32,32,"neutral",1,1,1,"neutral"
33,33,"negative",1,1,1,"negative"
34,34,"negative",1,1,1,"negative"
35,35,"positive",1,1,1,"positive"
36,36,"neutral",0.6207,0.6207,0.6207,"neutral"
37,37,"positive",1,1,1,"positive"
38,38,"positive",1,1,1,"positive"
39,39,"neutral",0.6791,0.6791,0.6791,"neutral"
40,40,"negative",1,1,1,"negative"
41,41,"positive",0.6639,0.6639,0.6639,"positive"
42,42,"negative",0.6688,0.6688,0.6688,"negative"
43,43,"neutral",1,1,1,"neutral"
44,44,"neutral",0.6578,0.6578,0.6578,"neutral"
45,45,"neutral",1,1,1,"neutral"
46,46,"positive",1,1,1,"positive"
47,47,"neutral",0.6799,0.6799,0.6799,"neutral"
48,48,"positive",1,1,1,"positive"
49,49,"neutral",1,1,1,"neutral"
50,50,"neutral",0.6436,0.6436,0.6436,"neutral"
51,51,"neutral",0.6764,0.6764,0.6764,"neutral"
52,52,"positive",0.657,0.657,0.657,"positive"
53,53,"neutral",1,1,1,"neutral"
54,54,"neutral",0.7118,0.7118,0.7118,"neutral"
55,55,"neutral",1,1,1,"neutral"
56,56,"negative",0.6939,0.6939,0.6939,"negative"
57,57,"positive",1,1,1,"positive"
58,58,"positive",0.635,0.635,0.635,"positive"
59,59,"neutral",0.7007,0.7007,0.7007,"neutral"
60,60,"neutral",1,1,1,"neutral"
61,61,"neutral",1,1,1,"neutral"
62,62,"negative",1,1,1,"negative"
63,63,"neutral",0.6858,0.6858,0.6858,"neutral"
64,64,"neutral",1,1,1,"neutral"
65,65,"positive",1,1,1,"positive"
66,66,"neutral",0.6814,0.6814,0.6814,"neutral"
67,67,"negative",1,1,1,"negative"
68,68,"negative",1,1,1,"negative"
69,69,"positive",0.6922,0.6922,0.6922,"positive"
70,70,"negative",1,1,1,"negative"
71,71,"neutral",1,1,1,"neutral"
72,72,"neutral",0.6492,0.6492,0.6492,"neutral"
73,73,"neutral",1,1,1,"neutral"
74,74,"negative",1,1,1,"negative"
75,75,"positive",1,1,1,"positive"
76,76,"positive",1,1,1,"positive"
77,77,"neutral",1,1,1,"neutral"
78,78,"neutral",1,1,1,"neutral"
79,79,"negative",1,1,1,"negative"
80,80,"neutral",1,1,1,"neutral"
81,81,"negative",1,1,1,"negative"
82,82,"positive",1,1,1,"positive"
83,83,"negative",0.6792,0.6792,0.6792,"negative"
84,84,"negative",1,1,1,"negative"
85,85,"negative",1,1,1,"negative"
86,86,"negative",1,1,1,"negative"
87,87,"neutral",0.6705,0.6705,0.6705,"neutral"
88,88,"neutral",1,1,1,"neutral"
89,89,"neutral",0.6545,0.6545,0.6545,"neutral"
90,90,"negative",1,1,1,"negative"
91,91,"neutral",1,1,1,"neutral"
92,92,"neutral",0.6639,0.6639,0.6639,"neutral"
93,93,"negative",1,1,1,"negative"
94,94,"negative",1,1,1,"negative"
95,95,"neutral",0.6765,0.6765,0.6765,"neutral"
96,96,"negative",1,1,1,"negative"
97,97,"negative",1,1,1,"negative"
98,98,"negative",1,1,1,"negative"
99,99,"negative",1,1,1,"negative"
100,100,"negative",1,1,1,"negative"
101,101,"neutral",1,1,1,"neutral"
102,102,"negative",1,1,1,"negative"
103,103,"neutral",1,1,1,"neutral"
104,104,"negative",0.6925,0.6925,0.6925,"negative"
105,105,"negative",1,1,1,"negative"
106,106,"positive",1,1,1,"positive"
107,107,"negative",1,1,1,"negative"
108,108,"negative",1,1,1,"negative"
109,109,"neutral",0.6593,0.6593,0.6593,"neutral"
110,110,"positive",0.6823,0.6823,0.6823,"positive"
111,111,"neutral",1,1,1,"neutral"
112,112,"positive",0.6806,0.6806,0.6806,"positive"
113,113,"neutral",0.6529,0.6529,0.6529,"neutral"
114,114,"positive",0.678,0.678,0.678,"positive"
115,115,"positive",0.3482,0.3482,0.3482,"positive"
116,116,"negative",1,1,1,"negative"
117,117,"positive",1,1,1,"positive"
118,118,"positive",1,1,1,"positive"
119,119,"positive",1,1,1,"positive"
120,120,"positive",1,1,1,"positive"
121,121,"negative",0.6832,0.6832,0.6832,"negative"
122,122,"negative",1,1,1,"negative"
123,123,"negative",1,1,1,"negative"
124,124,"positive",1,1,1,"positive"
125,125,"positive",1,1,1,"positive"
126,126,"neutral",1,1,1,"neutral"
127,127,"negative",0.6703,0.6703,0.6703,"negative"
128,128,"positive",1,1,1,"positive"
129,129,"neutral",1,1,1,"neutral"
130,130,"neutral",0.6535,0.6535,0.6535,"neutral"
131,131,"negative",1,1,1,"negative"
132,132,"negative",1,1,1,"negative"
133,133,"neutral",1,1,1,"neutral"
134,134,"negative",1,1,1,"negative"
135,135,"negative",1,1,1,"negative"
136,136,"negative",1,1,1,"negative"
137,137,"positive",1,1,1,"positive"
138,138,"neutral",1,1,1,"neutral"
139,139,"positive",0.7011,0.7011,0.7011,"positive"
140,140,"negative",1,1,1,"negative"
141,141,"negative",0.6543,0.6543,0.6543,"negative"
142,142,"positive",1,1,1,"positive"
143,143,"neutral",0.355,0.355,0.355,"neutral"
144,144,"negative",0.6889,0.6889,0.6889,"negative"
145,145,"positive",1,1,1,"positive"
146,146,"negative",1,1,1,"negative"
147,147,"negative",0.679,0.679,0.679,"negative"
148,148,"positive",1,1,1,"positive"
149,149,"positive",1,1,1,"positive"
